,count,mean,std,min,25%,50%,75%,max
ABCB4,964.0,17.932962480917016,2.5928937865300665,14.29402732849121,15.83428955078125,17.44322776794434,19.351386547088627,25.0
FLRY3,964.0,16.422502400964127,2.3896869676566705,12.90950012207031,14.79761791229248,15.815000057220459,17.42641067504883,23.73499870300293
GGBR3,964.0,18.045292720755107,1.6070097332400313,13.88095188140869,16.94444465637207,17.91249942779541,19.001984119415283,21.96666526794434
ITUB3,964.0,23.285176338496544,2.6340539957030007,19.01000022888184,21.327499866485592,22.75,24.73999977111816,30.84000015258789
PETR3,964.0,32.94340248820198,4.4517050835744465,24.29000091552734,29.164999961853027,33.09499931335449,36.50500011444092,44.4900016784668
PRIO3,964.0,32.549875488914395,9.640849887297934,16.75,24.307499885559082,32.0099983215332,41.57750129699707,50.20000076293945
RADL3,964.0,23.92654656374603,2.96530596907721,17.49038314819336,21.82692337036133,23.13461494445801,26.422499656677243,29.60000038146973
VALE3,964.0,78.47924291444517,11.951801185743038,61.04999923706055,68.44499778747559,75.63500213623047,85.84250068664551,117.3000030517578
